iter	Passed	Remaining
1239	26730	16383
1240	26752	16361
1241	26776	16342
1242	26792	16317
1243	26810	16293
1244	26843	16278
1245	26861	16254
1246	26896	16241
1247	26925	16224
1248	26942	16200
1249	26964	16178
1250	26995	16162
1251	27017	16141
1252	27043	16122
1253	27061	16098
1254	27079	16075
1255	27100	16053
1256	27129	16036
1257	27149	16013
1258	27171	15992
1259	27195	15971
1260	27219	15951
1261	27243	15931
1262	27268	15911
1263	27285	15887
1264	27308	15866
1265	27331	15846
1266	27353	15824
1267	27374	15802
1268	27395	15780
1269	27411	15756
1270	27434	15735
1271	27451	15711
1272	27478	15692
1273	27496	15668
1274	27513	15645
1275	27532	15621
1276	27554	15600
1277	27574	15578
1278	27592	15554
1279	27614	15533
1280	27631	15509
1281	27648	15485
1282	27674	15465
1283	27695	15443
1284	27714	15421
1285	27733	15398
1286	27762	15380
1287	27787	15360
1288	27811	15340
1289	27835	15320
1290	27863	15302
1291	27891	15284
1292	27919	15266
1293	27945	15246
1294	27969	15226
1295	27991	15205
1296	28014	15184
1297	28033	15161
1298	28060	15142
1299	28079	15119
1300	28102	15099
1301	28125	15078
1302	28145	15055
1303	28168	15034
1304	28188	15012
1305	28207	14989
1306	28226	14966
1307	28249	14945
1308	28274	14925
1309	28292	14902
1310	28315	14881
1311	28335	14858
1312	28357	14837
1313	28382	14817
1314	28404	14796
1315	28427	14775
1316	28451	14754
1317	28469	14731
1318	28500	14714
1319	28525	14694
1320	28538	14669
1321	28563	14648
1322	28580	14624
1323	28602	14603
1324	28624	14582
1325	28646	14560
1326	28671	14540
1327	28696	14521
1328	28732	14506
1329	28759	14487
1330	28785	14468
1331	28808	14447
1332	28832	14427
1333	28856	14406
1334	28880	14386
1335	28900	14363
1336	28923	14342
1337	28943	14320
1338	28970	14301
1339	28996	14281
1340	29027	14264
1341	29049	14243
1342	29071	14221
1343	29096	14201
1344	29120	14181
1345	29147	14162
1346	29172	14142
1347	29195	14121
1348	29217	14099
1349	29237	14077
1350	29257	14055
1351	29272	14029
1352	29299	14010
1353	29318	13988
1354	29342	13967
1355	29365	13946
1356	29379	13921
1357	29399	13898
1358	29421	13877
1359	29448	13858
1360	29470	13836
1361	29492	13814
1362	29509	13791
1363	29531	13769
1364	29561	13751
1365	29580	13728
1366	29597	13705
1367	29618	13683
1368	29637	13660
1369	29658	13638
1370	29677	13615
1371	29696	13592
1372	29719	13571
1373	29749	13553
1374	29768	13531
1375	29794	13511
1376	29819	13491
1377	29859	13477
1378	29876	13454
1379	29894	13430
1380	29915	13409
1381	29945	13390
1382	29969	13370
1383	29988	13347
1384	30013	13327
1385	30033	13305
1386	30057	13284
1387	30070	13258
1388	30089	13235
1389	30110	13214
1390	30140	13195
1391	30161	13174
1392	30189	13154
1393	30214	13134
1394	30234	13112
1395	30252	13089
1396	30271	13066
1397	30289	13043
1398	30313	13022
1399	30342	13003
1400	30361	12981
1401	30378	12957
1402	30401	12936
1403	30422	12914
1404	30449	12894
1405	30470	12873
1406	30499	12854
1407	30524	12834
1408	30545	12812
